,Turnover
2015-03-31,0.9999999999999999
2015-04-30,0.0
2015-05-31,0.0
2015-06-30,0.0
2015-07-31,0.0
2015-08-31,0.0
2015-09-30,0.0
2015-10-31,0.0
2015-11-30,0.40500497394708945
2015-12-31,0.18001441821725495
2016-01-31,0.5295547211498693
2016-02-29,0.05294010557683609
2016-03-31,0.4050076508906284
2016-04-30,0.17999433788312696
2016-05-31,0.1799998931129272
2016-06-30,0.585
2016-07-31,0.16564124012142495
2016-08-31,0.4050287709643953
2016-09-30,0.18005542180986694
2016-10-31,0.1800347584917154
2016-11-30,0.180008177927377
2016-12-31,0.18001783360152976
2017-01-31,0.0
2017-02-28,0.0
2017-03-31,0.22504522229660134
2017-04-30,0.3498615179336353
2017-05-31,0.035089604250817114
2017-06-30,0.003457569194042333
2017-07-31,0.000383291133600823
2017-08-31,0.18000601865679497
2017-09-30,0.16205333834016925
2017-10-31,0.016189509442147348
2017-11-30,0.0016399781229170368
2017-12-31,0.0001867448278376734
2018-01-31,0.7199982458913777
2018-02-28,0.0
2018-03-31,0.0
2018-04-30,0.0
2018-05-31,0.0
2018-06-30,0.3419948184099155
2018-07-31,0.034209898188242924
2018-08-31,0.003421476487277904
2018-09-30,0.00031624298141155077
2018-10-31,0.0
2018-11-30,0.0
2018-12-31,0.0
2019-01-31,0.0
2019-02-28,0.0
2019-03-31,0.7200049232478785
2019-04-30,0.2249228247235783
2019-05-31,0.5850070149110896
2019-06-30,0.22500774481843736
2019-07-31,0.6789498692791535
2019-08-31,0.5850232902718443
2019-09-30,0.2249957019693613
2019-10-31,0.6532444076604128
2019-11-30,0.06526846496666719
2019-12-31,0.006546241537926288
2020-01-31,0.5396942348511063
2020-02-29,0.05400610277910715
2020-03-31,0.0053856082721571155
2020-04-30,0.0005115621731949262
2020-05-31,4.2180974275763296e-05
2020-06-30,0.2249963003442568
2020-07-31,0.06750168252938446
2020-08-31,0.22507745114666133
2020-09-30,0.22500000000000006
2020-10-31,0.22507490979519573
2020-11-30,0.22495784307745112
2020-12-31,0.22499999999999998
2021-01-31,0.7199945766863908
2021-02-28,0.5849987199501018
2021-03-31,0.22499867894659248
2021-04-30,0.22500119541574562
2021-05-31,0.4049493205029946
2021-06-30,0.18001829311809975
2021-07-31,0.18000000000000005
2021-08-31,0.18000082103731005
2021-09-30,0.18005191435132464
2021-10-31,0.18006541119912178
2021-11-30,0.0
2021-12-31,0.0
2022-01-31,0.7200038603910904
2022-02-28,0.22499518623197406
2022-03-31,0.22499150488338807
2022-04-30,0.0
2022-05-31,0.0
2022-06-30,0.0
2022-07-31,0.0
2022-08-31,0.7200038955601957
2022-09-30,0.5850582863021452
2022-10-31,0.22497481362825564
2022-11-30,0.22498237498232604
2022-12-31,0.2199959169942356
2023-01-31,0.7200460416550265
2023-02-28,0.22502758825678223
2023-03-31,0.5849826611328734
2023-04-30,0.22500871700489186
2023-05-31,0.22494295535154157
2023-06-30,0.22500464144249938
2023-07-31,0.40499696321187006
2023-08-31,0.17999300762463094
2023-09-30,0.5209718497942011
2023-10-31,0.05207973331216065
2023-11-30,0.0052359193230012225
2023-12-31,0.2249738414453436
2024-01-31,0.40501180627617644
2024-02-29,0.180004523227389
2024-03-31,0.18000888438332488
2024-04-30,0.18001757742290078
2024-05-31,0.17997071186628097
2024-06-30,0.1799793814506525
2024-07-31,0.18
2024-08-31,0.1800053072395549
2024-09-30,0.05455881426894255
2024-10-31,0.7200251000261548
2024-11-30,0.15679940563382966
2024-12-31,0.01571680773601473
2025-01-31,0.22498861118099095
2025-02-28,0.2250683825834175
2025-03-31,0.22497691329035246
2025-04-30,0.5674464976250884
2025-05-31,0.056745533219247815
2025-06-30,0.7199949195629713
2025-07-31,0.2249573847588621
2025-08-31,0.22500000000000006
2025-09-30,0.22502155584063718
2025-10-31,0.2249874805493354
2025-11-30,0.224993013053522
2025-12-31,0.22500004784541786
